,precipitation,temp_max,temp_min,wind,weather
0,0.0,12.8,5.0,4.7,drizzle
1,10.9,10.6,2.8,4.5,rain
2,0.8,11.7,7.2,2.3,rain
3,20.3,12.2,5.6,4.7,rain
4,1.3,8.9,2.8,6.1,rain
5,2.5,4.4,2.2,2.2,rain
6,0.0,7.2,2.8,2.3,rain
7,0.0,10.0,2.8,2.0,sun
8,4.3,9.4,5.0,3.4,rain
9,1.0,6.1,0.6,3.4,rain
10,0.0,6.1,-1.1,5.1,sun
11,0.0,6.1,-1.7,1.9,sun
12,0.0,5.0,-2.8,1.3,sun
13,4.1,4.4,0.6,5.3,snow
14,5.3,1.1,-3.3,3.2,snow
15,2.5,1.7,-2.8,5.0,snow
16,8.1,3.3,0.0,5.6,snow
17,19.8,0.0,-2.8,5.0,snow
18,15.2,-1.1,-2.8,1.6,snow
19,13.5,7.2,-1.1,2.3,snow
20,3.0,8.3,3.3,8.2,rain
21,6.1,6.7,2.2,4.8,rain
22,0.0,8.3,1.1,3.6,rain
23,8.6,10.0,2.2,5.1,rain
24,8.1,8.9,4.4,5.4,rain
25,4.8,8.9,1.1,4.8,rain
26,0.0,6.7,-2.2,1.4,drizzle
27,0.0,6.7,0.6,2.2,rain
28,27.7,9.4,3.9,4.5,rain
29,3.6,8.3,6.1,5.1,rain
30,1.8,9.4,6.1,3.9,rain
31,13.5,8.9,3.3,2.7,rain
32,0.0,8.3,1.7,2.6,sun
33,0.0,14.4,2.2,5.3,sun
34,0.0,15.6,5.0,4.3,sun
35,0.0,13.9,1.7,2.9,sun
36,0.0,16.1,1.7,5.0,sun
37,0.3,15.6,7.8,5.3,rain
38,2.8,10.0,5.0,2.7,rain
39,2.5,11.1,7.8,2.4,rain
40,2.5,12.8,6.7,3.0,rain
41,0.8,8.9,5.6,3.4,rain
42,1.0,8.3,5.0,1.3,rain
43,11.4,7.2,4.4,1.4,rain
44,2.5,6.7,1.1,3.1,rain
45,0.0,7.2,0.6,1.8,drizzle
46,1.8,7.2,3.3,2.1,rain
47,17.3,10.0,4.4,3.4,rain
48,6.4,6.7,3.9,8.1,rain
49,0.0,6.7,2.2,4.7,sun
50,3.0,7.8,1.7,2.9,rain
51,0.8,10.0,7.8,7.5,rain
52,8.6,10.0,2.8,5.9,rain
53,0.0,8.3,2.8,3.9,sun
54,11.4,6.7,4.4,3.5,rain
55,0.0,7.2,2.8,6.4,rain
56,1.3,5.0,-1.1,3.4,snow
57,0.0,6.7,-2.2,3.0,sun
58,3.6,6.7,-0.6,4.2,snow
59,0.8,5.0,1.1,7.0,snow
60,0.0,6.1,1.1,3.1,sun
61,2.0,6.7,3.9,5.1,rain
62,0.0,12.2,6.7,7.0,sun
63,0.0,10.6,6.7,5.6,rain
64,6.9,7.8,1.1,6.2,rain
65,0.5,6.7,0.0,2.7,snow
66,0.0,8.9,-1.7,2.7,sun
67,0.0,15.6,0.6,2.5,sun
68,3.6,9.4,5.0,2.8,rain
69,10.4,7.2,6.1,3.4,rain
70,13.7,6.7,2.8,5.8,rain
71,19.3,8.3,0.6,6.2,snow
72,9.4,5.6,0.6,5.3,snow
73,8.6,7.8,1.1,4.7,rain
74,23.9,11.1,5.6,5.8,snow
75,8.4,8.9,3.9,5.1,rain
76,9.4,10.0,0.6,3.8,snow
77,3.6,5.0,-0.6,2.7,rain
78,2.0,7.2,-1.1,3.0,rain
79,3.6,7.8,2.2,6.4,rain
80,1.3,8.9,1.1,2.5,rain
81,4.1,10.0,1.7,2.1,rain
82,0.0,12.2,0.6,2.8,sun
83,0.0,15.0,3.3,5.2,sun
84,0.0,13.3,2.2,2.7,rain
85,0.0,12.8,6.1,4.3,drizzle
86,4.8,14.4,6.7,3.8,rain
87,1.3,10.6,7.2,5.9,rain
88,27.4,10.0,6.1,4.4,rain
89,5.6,9.4,5.0,4.7,rain
90,13.2,10.0,2.8,3.4,rain
91,1.5,8.9,4.4,6.8,rain
92,0.0,16.7,4.4,3.1,sun
93,1.5,11.7,3.3,3.1,rain
94,0.0,10.6,2.8,2.1,sun
95,4.6,9.4,2.8,1.8,snow
96,0.3,11.1,3.3,2.6,rain
97,0.0,16.1,1.7,4.3,sun
98,0.0,21.1,7.2,4.1,sun
99,0.0,20.0,6.1,2.1,sun
100,0.0,17.8,8.9,3.2,rain
101,2.3,11.1,7.2,2.6,rain
102,0.5,13.9,5.6,2.6,rain
103,0.0,15.0,3.9,4.0,drizzle
104,0.0,15.6,3.3,3.0,sun
105,0.0,16.1,7.2,2.9,rain
106,8.1,13.3,6.7,5.8,rain
107,1.8,10.0,4.4,2.0,rain
108,1.8,13.3,7.2,3.9,rain
109,10.9,13.9,5.0,2.6,rain
110,6.6,13.3,6.7,2.7,rain
111,0.0,20.0,4.4,2.3,sun
112,0.0,23.3,8.3,2.6,rain
